step;time;x1;y1;x2;y2;x3;y3;task1;task2;task3;broken1;broken2;broken3;wscount1;wscount2;wscount3;wscount4;wscount5;queue
43;82;87;26;94;159;180;43;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5']
44;83;87;27;94;159;180;43;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5']
45;84;87;28;93;159;180;44;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5']
46;85;87;29;93;159;180;44;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5']
47;86;87;30;93;159;179;44;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5']
48;87;87;31;92;159;179;44;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5']
49;88;87;31;92;158;179;45;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5']
50;89;87;31;91;158;178;45;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5']
51;90;87;32;91;157;178;46;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5']
52;91;87;33;90;157;178;46;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5']
53;92;87;34;90;156;178;47;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5']
54;93;87;35;90;156;178;47;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5']
55;94;87;35;90;156;178;48;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5']
56;95;87;36;90;155;178;49;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5']
57;96;87;36;89;155;178;49;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5']
58;97;87;37;89;154;178;50;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5']
59;98;86;37;89;154;178;51;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5']
60;99;86;38;89;153;178;52;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5']
61;100;85;38;89;153;178;53;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5']
62;101;85;38;89;152;178;54;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5']
63;102;84;38;88;152;178;54;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5', 'ws2']
64;103;84;39;88;151;178;55;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5', 'ws2', 'ws3']
65;104;83;39;88;151;178;56;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5', 'ws2', 'ws3']
66;105;83;40;88;150;178;56;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5', 'ws2', 'ws3']
67;106;83;40;87;150;178;57;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5', 'ws2', 'ws3']
68;107;83;41;87;150;178;57;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5', 'ws2', 'ws3']
69;108;82;41;87;149;178;57;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5', 'ws2', 'ws3']
70;109;82;42;86;149;178;57;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5', 'ws2', 'ws3']
71;110;81;42;86;148;178;58;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5', 'ws2', 'ws3']
72;111;81;43;85;148;178;58;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5', 'ws2', 'ws3']
73;112;81;43;85;148;178;59;d(item11, ws2);d(item1, ws5);d(item7, ws1);False;False;False;0;0;0;0;0;['ws1', 'ws3', 'ws4', 'ws4', 'ws5', 'ws4', 'ws2', 'ws3', 'ws4', 'ws5', 'ws2', 'ws3']
